TAG EPC,Comments,Nivel_Tension,Tipo_Bandeja,ancho util,Width,error?,H tot,Numero_Tramo,Length,Circuito N°1,Circuito N°2,Circuito N°3,Circuito N°4,Circuito N°5,Circuito N°6,Circuito N°7,Circuito N°8,Circuito N°9,Circuito N°10,Circuito N°11,Circuito N°12,Circuito N°13,Circuito N°14,Circuito N°15,Circuito N°16,Circuito N°17,Circuito N°18,Circuito N°19,Circuito N°20,Circuito N°21,Circuito N°22,Circuito N°23,Circuito N°24,Circuito N°25,Circuito N°26,Circuito N°27,Circuito N°28,Circuito N°29,Circuito N°30,Circuito N°31,Circuito N°32,Circuito N°33,Circuito N°34,Circuito N°35,Circuito N°36,Circuito N°37,Circuito N°38,Circuito N°39,Circuito N°40,Circuito N°41,Circuito N°42,Circuito N°43,Circuito N°44,Circuito N°45,Circuito N°46,Circuito N°47,Circuito N°48,Circuito N°49,Circuito N°50,Circuito N°51,Circuito N°52,Circuito N°53,Circuito N°54,Circuito N°55,Circuito N°56,Circuito N°57,Circuito N°58,Circuito N°59,Circuito N°60,Circuito N°61,Circuito N°62,Circuito N°63,Circuito N°64,Circuito N°65,Circuito N°66,Circuito N°67,Circuito N°68,Circuito N°69,Circuito N°70,Circuito N°71,Circuito N°72,Circuito N°73,Circuito N°74,Circuito N°75,Circuito N°76,Circuito N°77,Circuito N°78,Circuito N°79,Circuito N°80,A C1,A C2,A C3,A C4,A C5,A C6,A C7,A C8,A C9,A C10,A C11,A C12,A C13,A C14,A C15,A C16,A C17,A C18,A C19,A C20,A C21,A C22,A C23,A C24,A C25,A C26,A C27,A C28,A C29,A C30,A C31,A C32,A C33,A C34,A C35,A C36,A C37,A C38,A C39,A C40,A C41,A C42,A C43,A C44,A C45,A C46,A C47,A C48,A C49,A C50,A C51,A C52,A C53,A C54,A C55,A C56,A C57,A C58,A C59,A C60,A C61,A C62,A C63,A C64,A C65,A C66,A C67,A C68,A C69,A C70,A C71,A C72,A C73,A C74,A C75,A C76,A C77,A C78,A C79,A C80
2A-P-E-900-324,2A,P,E,900,900 mm,ok,826,324,4207,BDC E-1-j-1 / 23,BDC E-1-j-1 / 24,BDC E-1-j-1 / 27,BDC E-1-j-1 / 28,CP-E-1-j-1-01 / 02,CP-E-1-j-1-01 / 04,PP-E-1-j-1-02 / 19,PP-F-1-j-1-07 / 13,PP-F-1-j-1-07 / 14,PP-F-1-j-1-07 / 15,USP-E-1-j-1-01-NA-1-1-a / 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,8","159,6","159,6","159,6","117,6","117,6","12,2",0,"11,2","18,3","11,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-324,2A,P,E,900,900 mm,ok,826,324,14661,BDC E-1-j-1 / 23,BDC E-1-j-1 / 24,BDC E-1-j-1 / 27,BDC E-1-j-1 / 28,CP-E-1-j-1-01 / 02,CP-E-1-j-1-01 / 04,ATS-CCNR-2A-01 / 03,PP-E-1-j-1-02 / 19,PP-F-1-j-1-07 / 13,PP-F-1-j-1-07 / 14,PP-F-1-j-1-07 / 15,USP-E-1-j-1-01-NA-1-1-a / 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,8","159,6","159,6","159,6","117,6","117,6",0,"12,2",0,"11,2","18,3","11,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-324,2A,P,E,900,900 mm,ok,826,324,6717,BDC E-1-j-1 / 23,BDC E-1-j-1 / 24,BDC E-1-j-1 / 27,BDC E-1-j-1 / 28,CP-E-1-j-1-01 / 02,CP-E-1-j-1-01 / 04,PP-E-1-j-1-02 / 19,PP-F-1-j-1-07 / 13,PP-F-1-j-1-07 / 14,PP-F-1-j-1-07 / 15,USP-E-1-j-1-01-NA-1-1-a / 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,8","159,6","159,6","159,6","117,6","117,6","12,2",0,"11,2","18,3","11,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-316,2A,P,E,900,900 mm,ok,798,316,3957,BDC E-1-j-1 / 17,BDC E-1-j-1 / 19,BDC E-1-j-1 / 20,BDC E-1-j-1 / 21,BDC F-1-j-1 / 21,BDC F-1-j-1 / 28,UPS-F-1-j-1-01-SB / 02,ATS-DC-2A-02 / 01,PP-F-1-j-1-03 / 19,PP-F-1-j-1-03 / 20,PP-E-1-j-1-02 / 20,PP-E-1-j-1-02 / 17,PP-E-1-j-1-02 / 14,PP-F-1-j-1-06 / 26,PP-E-1-j-1-08 / 01,PP-E-1-j-1-08 / 02,PP-E-1-j-1-08 / 03,PP-E-1-j-1-08 / 04,PP-E-1-j-1-08 / 05,PP-E-1-j-1-08 / 06,PP-E-1-j-1-08 / 07,PP-E-1-j-1-08 / 08,PP-E-1-j-1-08 / 09,PP-E-1-j-1-08 / 10,PP-E-1-j-1-08 / 11,PP-E-1-j-1-08 / 12,PP-E-1-j-1-08 / 13,PP-E-1-j-1-08 / 14,PP-E-1-j-1-08 / 15,PP-E-1-j-1-08 / 16,PP-E-1-j-1-08 / 17,PP-E-1-j-1-08 / 18,RP-E-1-j-1-02-a / 17,RP-E-1-j-1-02-a / 23,RP-E-1-j-1-02-a / 24,USP-E-1-j-1-01-NA-1-1-a / 16,USP-E-1-j-1-01-NA-1-1-a / 29,USP-E-1-j-1-01-NA-1-1-a / 24,USP-F-1-j-1-01-SB-1-1-a / 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,8","43,8","43,8","43,8","43,8","64,5",0,"58,8","11,2","11,2","13,6","17,6","16,8","17,6","12,2","11,2","18,3","12,2","11,2","18,3","12,2","11,2","18,3","12,2","11,2","18,3","12,2","11,2","18,3","12,2","11,2","18,3","11,2","20,4","13,6","12,2","16,8","11,2","16,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-253.3,2A,P,E,900,900 mm,ok,763,253.3,3224,BDC F-1-j-1 / 18,BDC F-1-j-1 / 19,BDC F-1-j-1 / 20,BDC F-1-j-1 / 22,BDC F-1-j-1 / 27,RP-F-1-j-1-02 / 40,LP-F-1-j-1-03 / 25,PP-F-1-j-1-03 / 18,PP-F-1-j-1-03 / 21,USP-E-1-j-1-01-NA-1-1 / 1,USP-E-1-j-1-01-NA-1-1 / 16,USP-E-1-j-1-01-NA-1-1 / 17,USP-E-1-j-1-01-NA-1-1 / 23,USP-E-1-j-1-01-NA-1-1 / 33,USP-F-1-j-1-01-SB-1-1-a / 11,USP-F-1-j-1-01-SB-1-1-a / 12,USP-F-1-j-1-01-SB-1-1-a / 17,USP-F-1-j-1-01-SB-1-1-a / 18,USP-F-1-j-1-01-SB-1-1-a / 19,USP-F-1-j-1-01-SB-1-1-a / 20,USP-F-1-j-1-01-SB-1-1-a / 29,USP-F-1-j-1-01-SB-1-1-a / 30,USP-F-1-j-1-01-SB-1-1-a / 16,USP-F-1-j-1-01-SB-1-1-a / 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,5","58,8","159,6","43,8","159,6","35,1","31,8","13,6","11,2",0,"17,6",15,"11,2","11,2",15,"13,6","17,6","13,6","12,2","11,2","12,2","12,2","11,2","11,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-323.1,2A,P,E,900,900 mm,ok,726,323.1,10103,BDC F-1-j-1 / 18,ATS-DC-2A-02 / 01,ATS-EB-2A-02 / 01,ATS-CCNR-2A-02 / 01,ATS-CCNR-2A-04 / 01,PP-F-1-j-1-03 / 21,RP-F-1-j-1-02-a / 25,RP-F-1-j-1-02-a / 26,RP-F-1-j-1-02-a / 27,RP-F-1-j-1-02-a / 28,RP-F-1-j-1-02-a / 29,RP-F-1-j-1-02-a / 32,RP-F-1-j-1-02-a / 30,RP-F-1-j-1-02-a / 31,USP-F-1-j-1-01-SB-1-1-a / 34,PP-F-1-j-1-06 / 29,USP-F-1-j-1-01-SB-1-1-a / 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,5","58,8","159,6","117,6","117,6","11,2","20,4","12,2","12,2","12,2","12,2","20,4","20,4","13,6","35,1","26,4","11,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-323,2A,P,E,900,900 mm,ok,723,323,28497,BDC F-1-j-1 / 15,BDC F-1-j-1 / 21,BDC F-1-j-1 / 28,UPS-F-1-j-1-01-SB / 02,ATS-DC-2A-02 / 01,ATS-EB-2A-02 / 01,CP-F-1-j-1-01 / 01,CP-F-1-j-1-01 / 03,PP-F-1-j-1-03 / 19,PP-F-1-j-1-03 / 20,USP-E-1-j-1-01-NA-1-1-a / 14,USP-E-1-j-1-01-NA-1-1-a / 15,USP-E-1-j-1-01-NA-1-1-a / 17,USP-F-1-j-1-01-SB-1-1-a / 34,PP-F-1-j-1-06 / 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,8","43,8","64,5",0,"58,8","159,6","117,6","117,6","11,2","11,2","11,2","11,2","11,2","35,1","26,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-208,2A,P,E,900,900 mm,ok,718,208,260,PMDC E-1-j / 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"718,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-208T001,2A,P,E,900,900 mm,ok,718,208T001,1474,PMDC E-1-j / 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"718,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A-P-E-900-230,2A,P,E,900,900 mm,ok,718,230,84786,PMDC E-1-j / 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"718,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
